From	To
A0A2E0XQH5	A0A2E0XQH5_9BACT
A0A2N7VLU4	A0A2N7VLU4_9BURK
A1E8Y5	A1E8Y5_9CHLO
A0A1G9UM91	A0A1G9UM91_9FIRM
A0A238H478	A0A238H478_9BURK
G9EUB0	G9EUB0_9GAMM
A0A0C2S7L2	A0A0C2S7L2_CLOBO
C5UPD2	C5UPD2_CLOBO
A0A1M3PL50	A0A1M3PL50_9PROT
A0A118DM02	A0A118DM02_9BURK
A8LN39	ATPB1_DINSH
A0A1I0JM50	A0A1I0JM50_9PSED
A0A1C1BFS6	A0A1C1BFS6_PSEPU
J4W5J4	J4W5J4_9FIRM
X8ITF5	X8ITF5_9FIRM
A0A160GLH3	A0A160GLH3_PSEPU
A0A1C2DXP7	A0A1C2DXP7_9PSED
D1L5E8	D1L5E8_9LILI
B1FJV9	B1FJV9_9BURK
A0A1F6QRN8	A0A1F6QRN8_9BACT
A0A1S3HZ81	OBSOLETE
R9CGV4	R9CGV4_9BACI
A0A2A3A812	A0A2A3A812_9BACI
A0A2A4SPU8	A0A2A4SPU8_9DELT
A0A2G4KD30	A0A2G4KD30_9CAUL
A0A1F8BMA7	A0A1F8BMA7_9BACT
A0A0S7ZJQ5	A0A0S7ZJQ5_9SPIR
A0A2H0VSK5	A0A2H0VSK5_9BACT
A0A127HWK3	A0A127HWK3_PSEAZ
W2DZ63	W2DZ63_9PSED
A0A1T4M506	A0A1T4M506_9SPIO
A0A2N0E5J7	A0A2N0E5J7_PSETO
A0A128IHF4	OBSOLETE
A0A0A1Z8W2	A0A0A1Z8W2_PSEFL
A0A090BUQ5	A0A090BUQ5_9GAMM
F6JSQ8	F6JSQ8_9MARC
A0A1G5BBU2	A0A1G5BBU2_9FIRM
A0A1M7H9Z3	A0A1M7H9Z3_RUMFL
A0A0D8J6D3	A0A0D8J6D3_9BACT
A0A1I3INV5	A0A1I3INV5_9PROT
A0A2N2INK6	A0A2N2INK6_9DELT
A0A1I7FBQ1	A0A1I7FBQ1_9FIRM
A0A2K0QA90	A0A2K0QA90_SHIFL
E7TJV3	E7TJV3_SHIFL
Q6XVW8	Q6XVW8_SHIFL
E5KJX0	E5KJX0_9EURY
G7WRE6	G7WRE6_METH6
A0A1H3PJP7	A0A1H3PJP7_9PROT
H0HXE0	H0HXE0_9RHIZ
A0A1H6BCG8	A0A1H6BCG8_9BRAD
A0A0W0HRT5	A0A0W0HRT5_PSEFL
I9LCP1	I9LCP1_9FIRM
A0A1D2YXG8	A0A1D2YXG8_9BACI
A0A0M1UIR4	A0A0M1UIR4_ECOLX
A0A1S9KBQ7	OBSOLETE
B3X701	B3X701_9ENTR
I6CHU1	I6CHU1_SHIFL
A0A2G5NCN8	A0A2G5NCN8_9PSED
B2TT00	B2TT00_SHIB3
A0A1V2J9E9	A0A1V2J9E9_PSEAZ
A0A1I2MC70	A0A1I2MC70_9GAMM
A0A0B1Z6T0	A0A0B1Z6T0_9PSED
A0A2M9GNM9	A0A2M9GNM9_9PSED
A0A1N6RC77	A0A1N6RC77_9BACL
A0A1U9PWP9	A0A1U9PWP9_PSEAZ
A0A1Y3YEB4	A0A1Y3YEB4_9FIRM
A0A1Y3TBL7	A0A1Y3TBL7_9FIRM
E3PUJ4	E3PUJ4_ACESD
A0A2G5RHH6	A0A2G5RHH6_9CAUL
A0A1H0LBK4	A0A1H0LBK4_9PSED
A0A1I3GIN6	A0A1I3GIN6_9PSED
A0A2N7ZAR3	A0A2N7ZAR3_9PSED
A0A0A1YZW2	A0A0A1YZW2_PSEFL
A0A127I4Q0	A0A127I4Q0_PSEAZ
A0A223VVY5	A0A223VVY5_9PSED
W2DLN4	W2DLN4_9PSED
D5VN85	D5VN85_CAUST
K9S7Z6	K9S7Z6_9CYAN
A0A1F8C2N8	A0A1F8C2N8_9BACT
A0A1T5D6S6	A0A1T5D6S6_9FIRM
A0A2E6I480	A0A2E6I480_9BACT
X1QVZ1	X1QVZ1_9ZZZZ
A0A060LUC5	A0A060LUC5_9BACI
A0A1N7J6B4	A0A1N7J6B4_9GAMM
W8PX39	W8PX39_9PSED
A0A1Y4NG95	A0A1Y4NG95_9FIRM
A0A1V4MYV6	A0A1V4MYV6_9BACT
A0A229GQA3	A0A229GQA3_9ACTN
A0A1G5B2C8	A0A1G5B2C8_9FIRM
A0A2N2CVE7	A0A2N2CVE7_9FIRM
A0A1H8HS88	A0A1H8HS88_9BACI
B3SHD9	B3SHD9_9LILI
E2E6J2	E2E6J2_9ENTE
A0A0E3QE87	A0A0E3QE87_9EURY
A0A0A7AD59	A0A0A7AD59_9XANT
A0A0A7AD62	A0A0A7AD62_9XANT
R4I5F9	R4I5F9_9BRYO
A0A0G9I5M4	A0A0G9I5M4_9XANT
A0A1G7FSJ9	A0A1G7FSJ9_9RHOB
A0A2N1R165	A0A2N1R165_9SPIR
A0A0E3Q6B3	A0A0E3Q6B3_9EURY
A0A1W1WSW3	A0A1W1WSW3_9PROT
R9IW69	R9IW69_9FIRM
M1PCT1	M1PCT1_DESSD
A0A285NJJ4	A0A285NJJ4_9BACI
A0A2A4EQV0	A0A2A4EQV0_9PSED
A0A2E8I4Y6	A0A2E8I4Y6_9PROT
E2E6J6	E2E6J6_9ENTE
A0A1X4NC68	A0A1X4NC68_9PROT
A0A1G2XI25	A0A1G2XI25_9BACT
A0A1F6G9I9	A0A1F6G9I9_9PROT
A0A2N2AJJ0	A0A2N2AJJ0_9GAMM
E0SNP1	E0SNP1_IGNAA
A0A2B6L2R0	A0A2B6L2R0_9BACI
A0A2D5BUY7	A0A2D5BUY7_9BACT
A0A0P1ED66	A0A0P1ED66_9RHOB
A0A1W6D1F8	A0A1W6D1F8_9RHOB
E2E6H8	E2E6H8_ENTAV
A0A173DT71	A0A173DT71_XANEU
A0A0E3S8V9	A0A0E3S8V9_9EURY
A1E932	A1E932_9CHLO
A0A162UYL6	A0A162UYL6_9BACL
K1XRH3	K1XRH3_9ZZZZ
A0A1F2YRN6	A0A1F2YRN6_9PROT
A0A2N7Q4X4	A0A2N7Q4X4_9DELT
A0A0A8JJ84	A0A0A8JJ84_BACSX
A0A290YM01	A0A290YM01_9MYCE
A0A1H7J0S8	A0A1H7J0S8_RUMFL
A0A095FB34	A0A095FB34_BURGA
A0A2A7SCL7	A0A2A7SCL7_BURGA
A0A1Q6LK98	A0A1Q6LK98_9CLOT
Q6YNA8	Q6YNA8_9VIRI
A0A127W140	A0A127W140_SPOPS
A0A2E1HCW8	A0A2E1HCW8_9RHIZ
A0A2D8RWR0	A0A2D8RWR0_9RHIZ
E7RX75	E7RX75_9BURK
A0A1V1Z9D0	A0A1V1Z9D0_9BACI
A0A0K0HYX5	OBSOLETE
A0A0M2QKE0	OBSOLETE
A0A132E8H8	A0A132E8H8_9BURK
Q14EU8	Q14EU8_JUNCM
A0A0U5AGD6	A0A0U5AGD6_9CHLO
G2RJH5	OBSOLETE
A0A2H0M258	A0A2H0M258_9BACT
R7IYU9	R7IYU9_9FIRM
H8GIS0	H8GIS0_METAL
A0A1F4WKB3	A0A1F4WKB3_9BACT
A0A1Y4GCV4	A0A1Y4GCV4_9BACT
R9MPH4	R9MPH4_9FIRM
F3KWL0	F3KWL0_9BURK
A0A2A4YLA8	A0A2A4YLA8_9BACT
S6A9Q8	S6A9Q8_9PROT
A1E918	A1E918_9CHLO
A0A0F5R0P8	A0A0F5R0P8_9BACL
W8YLM0	W8YLM0_9BACL
A0A1W5W6W7	A0A1W5W6W7_LEUME
A0A0D6ZAB7	A0A0D6ZAB7_9BACI
A0A1X7D622	A0A1X7D622_PARCY
A0A0W0ZWN6	A0A0W0ZWN6_9GAMM
A0A0D0P586	OBSOLETE
A1E942	A1E942_9CHLO
A0A0N8TYH8	A0A0N8TYH8_9GAMM
A0A0P9YDI0	A0A0P9YDI0_9PSED
M7Z3T1	M7Z3T1_9RHIZ
A0A090DSA4	A0A090DSA4_9RHIZ
A0A090GQ98	A0A090GQ98_9RHIZ
A0A1S1SMP6	A0A1S1SMP6_9RHIZ
A0A0B4S823	A0A0B4S823_9BACI
A0A102CTY0	OBSOLETE
A0A2K2HI63	A0A2K2HI63_9BACI
A0A1C3SCX6	A0A1C3SCX6_9BACI
A0A090DKC3	A0A090DKC3_MESPL
A0A1L6ZL22	A0A1L6ZL22_9BACI
A0A1B0ZS82	A0A1B0ZS82_9RHOB
A0A0S7AN03	A0A0S7AN03_MEIRU
D3PQJ4	D3PQJ4_MEIRD
K6CTW3	K6CTW3_9BACI
A0A0M3B7L7	A0A0M3B7L7_9RHIZ
A0A2H5DTG9	A0A2H5DTG9_9NEIS
M1FBB2	M1FBB2_9ALTE
A0A0J6EH93	A0A0J6EH93_9BACI
A0A0H4I7Z1	A0A0H4I7Z1_9ALTE
A0A1I4CKA2	A0A1I4CKA2_9FIRM
A0A2N2GXL5	A0A2N2GXL5_9DELT
A0A1Q7SHL7	A0A1Q7SHL7_9BACT
A0A1Q3JSQ2	A0A1Q3JSQ2_9BRAD
A1EBY8	A1EBY8_9CHLO
A0A0A7H8M6	A0A0A7H8M6_9MONI
A0A291KKP2	A0A291KKP2_9BACI
A0A2G6AU42	A0A2G6AU42_9BACL
A0A1W9VUI5	A0A1W9VUI5_9SPIO
A0A135L320	A0A135L320_9BACI
A0A1B6A661	A0A1B6A661_9BACI
A0A0A7HBR7	A0A0A7HBR7_9MONI
A0A1A8XKD0	A0A1A8XKD0_9PROT
J6GT61	J6GT61_9PORP
A0A1G3I7F4	A0A1G3I7F4_9PROT
A0A1E4A8F2	A0A1E4A8F2_9BACT
D3YI02	D3YI02_9MONI
A0A1W0VXG8	A0A1W0VXG8_SORBI
A0A222MVE2	OBSOLETE
Q85YC7	Q85YC7_9VIRI
S4S8L2	S4S8L2_9BRYO
K6SXU5	K6SXU5_9CLOT
A0A0P1IGA6	A0A0P1IGA6_9RHOB
A0A0L8V9E0	A0A0L8V9E0_9BACT
A0A1G5CD11	A0A1G5CD11_9FIRM
A0A268I2S5	A0A268I2S5_9BACI
Q85YC9	Q85YC9_COLSC
A0A0A7H8K3	A0A0A7H8K3_9MONI
J3GH91	J3GH91_9PSED
Q8MFR9	Q8MFR9_9VIRI
A0A1M7E9F2	A0A1M7E9F2_9GAMM
A0A220IIH9	A0A220IIH9_9POAL
A0A0L6JAY7	A0A0L6JAY7_9RHIZ
A0A2N2KQ72	A0A2N2KQ72_9DELT
A0A2E6ZFC2	A0A2E6ZFC2_9ACTN
B4AE01	OBSOLETE
A1E903	A1E903_9CHLO
F6JSR8	F6JSR8_9BRYO
J3E7X7	J3E7X7_9PSED
A0A109UHS6	A0A109UHS6_9FIRM
A0A0P8WAF4	A0A0P8WAF4_9CLOT
A0A0H1S7U7	A0A0H1S7U7_BACPU
A0A0W7XRY3	OBSOLETE
A0A0A6PYN3	OBSOLETE
A1E941	A1E941_9CHLO
R6GHU0	R6GHU0_9CLOT
A0A0J1LGU8	A0A0J1LGU8_BACCI
A0A1G2CDB2	A0A1G2CDB2_9BACT
A0A0J1IBR7	A0A0J1IBR7_9BACI
A0A1Y4B7S6	A0A1Y4B7S6_9FIRM
A0A2K8UBK3	A0A2K8UBK3_9GAMM
A0A2D8I0A8	A0A2D8I0A8_9BACT
L0E2J9	L0E2J9_THIND
D2E4F3	D2E4F3_9POAL
C6ER56	C6ER56_SPIAN
A0A235CDT9	A0A235CDT9_9GAMM
A0A0A7JPI9	A0A0A7JPI9_9PSED
A0A1Q8Q628	A0A1Q8Q628_9BACI
A0A154LLD2	A0A154LLD2_9PROT
A0A0A7ACX4	A0A0A7ACX4_9XANT
A0A0B8P343	A0A0B8P343_9VIBR
A0A0B8Q368	A0A0B8Q368_9VIBR
A0A0Q3WLF2	A0A0Q3WLF2_9BACI
A0A120Q6Z0	A0A120Q6Z0_STREE
A0A1C4AUV0	A0A1C4AUV0_9BACI
A0A1R3WV91	A0A1R3WV91_9BACI
A0A1V9CIU7	A0A1V9CIU7_9BACI
W8QMU6	W8QMU6_BACPU
M5R1W2	M5R1W2_9BACI
A0A1K1TUD4	A0A1K1TUD4_9BACI
A0A2E3P531	A0A2E3P531_9PROT
A0A2E9DGY5	A0A2E9DGY5_9GAMM
H9H062	H9H062_MELGA
A0A2D4VM83	A0A2D4VM83_9RHIZ
R4I5G1	R4I5G1_9BRYO
A0A2E8E5I3	A0A2E8E5I3_9BACT
A0A1I6KSA8	A0A1I6KSA8_9GAMM
R9M245	R9M245_9FIRM
A0A2N2CRG9	A0A2N2CRG9_9FIRM
A0A1H7N3I5	A0A1H7N3I5_9ACTN
A0A2E3THW1	OBSOLETE
C4IDK9	C4IDK9_CLOBU
N9YVJ6	N9YVJ6_CLOBU
W1U6D8	W1U6D8_CLOBU
X1ATL6	X1ATL6_9ZZZZ
A0A0A7HCA0	A0A0A7HCA0_9MONI
B4UDS8	B4UDS8_ANASK
A7HV56	A7HV56_PARL1
B3SHD4	B3SHD4_9POAL
A0A2N7W5Y7	A0A2N7W5Y7_9BURK
A0A1S2USG1	A0A1S2USG1_9PSED
B8JB66	B8JB66_ANAD2
A0A1V2M6U2	A0A1V2M6U2_9FIRM
A0A0F3K699	A0A0F3K699_9NEIS
A0A285RL11	A0A285RL11_9BACI
A0A1U9YW79	A0A1U9YW79_9RHIZ
A0A0Q6L5B6	A0A0Q6L5B6_9BACI
A0A2N3KZA1	A0A2N3KZA1_9PROT
A0A0X8KDZ2	A0A0X8KDZ2_9BACI
A0A2K9KBZ7	A0A2K9KBZ7_9BACI
A0A268DXM1	A0A268DXM1_9BACI
A0A142BU98	A0A142BU98_9XANT
A0A0W0YQC9	A0A0W0YQC9_9GAMM
A0A1D2TRB8	A0A1D2TRB8_9CAUL
A0A1H2AIR8	A0A1H2AIR8_9BACL
A0A212T3H8	A0A212T3H8_9ALTE
R4I5W7	R4I5W7_9BRYO
A0A2N3KA23	A0A2N3KA23_9PROT
A0A163THN2	OBSOLETE
Q85YC3	Q85YC3_COLNI
A0A220IL62	A0A220IL62_AEGBI
A3Z0H3	A3Z0H3_9SYNE
A0A150NW52	A0A150NW52_STRMT
J0UY49	J0UY49_STREE
A0A1F7YXV1	A0A1F7YXV1_9BACT
A0A016ANE5	A0A016ANE5_BACFG
A0A016CDR6	A0A016CDR6_BACFG
A0A016CNW9	A0A016CNW9_BACFG
B9VLF1	B9VLF1_ABISA
F0FW24	F0FW24_9BURK
A0A0A7H8M0	A0A0A7H8M0_9MONI
A0A0A7H8N9	A0A0A7H8N9_9MONI
A0A0A7H9D9	A0A0A7H9D9_9MONI
A0A0A7H9F2	A0A0A7H9F2_9MONI
A0A0A7HC75	A0A0A7HC75_9MONI
A0A2E0ILB9	A0A2E0ILB9_9RHOB
A0A2N3DEG0	A0A2N3DEG0_9PROT
Q85YC2	Q85YC2_9VIRI
K1SC74	K1SC74_9ZZZZ
D3YI14	D3YI14_9MONI
A0A074LLC5	A0A074LLC5_9BACL
A0A037UTM5	A0A037UTM5_9RHIZ
S4S9A3	S4S9A3_9BRYO
F7JM80	F7JM80_9FIRM
R6EU78	R6EU78_9FIRM
A0A0S8DAJ5	A0A0S8DAJ5_9PROT
D5BXK5	D5BXK5_NITHN
W9VUR2	W9VUR2_9GAMM
A0A235FD26	A0A235FD26_9BACI
A0A2D8YUA3	A0A2D8YUA3_9PROT
A0A2E2MI63	A0A2E2MI63_9PROT
A0A1M5SSW6	A0A1M5SSW6_9FIRM
X7E6Y3	X7E6Y3_9GAMM
X1R1N4	X1R1N4_9ZZZZ
Q12HZ5	Q12HZ5_SHEDO
A0A0M5LZR5	A0A0M5LZR5_9MICC
A0A1L8CM76	A0A1L8CM76_9PROT
A0A1F8JQD7	A0A1F8JQD7_9BACT
A0A104K1P3	A0A104K1P3_BURGA
A0A0B4MYR3	A0A0B4MYR3_9VIRI
S4S857	S4S857_9BRYO
B5IQ72	B5IQ72_9CYAN
A0A1G0DQL4	A0A1G0DQL4_9PROT
A0A257N2M8	A0A257N2M8_9GAMM
D4XVQ8	D4XVQ8_9MOLU
S4S9T6	S4S9T6_9BRYO
F2JTD3	F2JTD3_MARM1
F2LI93	F2LI93_BURGS
A0A2E1D7H3	A0A2E1D7H3_9RHOB
A0A1H2SVS8	A0A1H2SVS8_THIRO
A0A1D7ZTI6	A0A1D7ZTI6_9BURK
A0A2E6PBY8	A0A2E6PBY8_9PROT
A0A0U5IHH6	A0A0U5IHH6_9GAMM
A0A0Q4ETY6	A0A0Q4ETY6_9PSED
A0A1J5IZN0	A0A1J5IZN0_9DELT
A0A2H6A8S2	A0A2H6A8S2_9BACT
A0A178YQD8	A0A178YQD8_SINSA
A0A1H1C937	A0A1H1C937_9BACI
A0A1V5WNN3	A0A1V5WNN3_9SPIR
A0A1G0XYC9	A0A1G0XYC9_9BACT
D0D392	D0D392_9RHOB
A0A1G7K4B3	A0A1G7K4B3_9RHOB
A0A1S8SG95	A0A1S8SG95_CLOBE
A0A1V5QWP4	A0A1V5QWP4_9PROT
W1RVE5	W1RVE5_9GAMM
D4M701	D4M701_9BACT
A0A1F6LAA9	A0A1F6LAA9_9BACT
E2E6J9	E2E6J9_9ENTE
A0A1F8UJG4	A0A1F8UJG4_9FIRM
A0A0X8JQL9	A0A0X8JQL9_9DELT
G4WXK5	G4WXK5_9MONI
A0A2A6P2J9	A0A2A6P2J9_9RHIZ
G4WXJ2	G4WXJ2_9MONI
G4WXK2	G4WXK2_9MONI
A1E940	A1E940_9CHLO
A0A0L0QNP5	A0A0L0QNP5_VIRPA
A0A268FFV8	A0A268FFV8_BACCI
L0GW88	L0GW88_9GAMM
A0A0V2FE33	A0A0V2FE33_CAUVI
G4WXK1	G4WXK1_9MONI
G4WXL0	G4WXL0_9MONI
W8JN39	W8JN39_9CHLA
A0A1S8R7S9	A0A1S8R7S9_CLOBE
A0A1H9DT43	A0A1H9DT43_9FIRM
A0A2N1ZVX5	A0A2N1ZVX5_9GAMM
K6R537	OBSOLETE
A0A1D8UWY4	A0A1D8UWY4_9PROT
A0A1V0DIE4	A0A1V0DIE4_9BACT
A6M195	A6M195_CLOB8
A0A165X7M8	A0A165X7M8_9RHOB
A0A1V6DZS8	A0A1V6DZS8_9SPIR
S4S9D5	S4S9D5_9BRYO
A0A1N7KNL2	A0A1N7KNL2_9BACI
K2FPJ3	K2FPJ3_9BACI
C6ER57	C6ER57_9MONI
A0A1G1MP86	A0A1G1MP86_9BACT
A0A2N2L415	A0A2N2L415_9DELT
A0A1C6K222	A0A1C6K222_9FIRM
A0A0K2M9F2	A0A0K2M9F2_CLOBE
A0A1S8QBI8	A0A1S8QBI8_CLOBE
A0A1B9BGJ0	A0A1B9BGJ0_CLOBE
A0A1S8P3A3	A0A1S8P3A3_CLOBE
A0A202D3Y0	OBSOLETE
A0A220IN52	A0A220IN52_9POAL
A0A1E1ITZ2	A0A1E1ITZ2_LEIGU
A7DUZ1	A7DUZ1_STRPO
A0A1H0KX83	A0A1H0KX83_MICTS
A0A2G1VZL5	A0A2G1VZL5_9PLAN
A0A0F9QDV5	A0A0F9QDV5_9ZZZZ
A0A150FA34	A0A150FA34_9BACI
M5RUU0	M5RUU0_9PLAN
A0A0P1E7C8	A0A0P1E7C8_9RHOB
E2E6J8	E2E6J8_ENTMU
A4BRC0	A4BRC0_9GAMM
A0A0B5QG60	A0A0B5QG60_CLOBE
A0A1H2HRG0	A0A1H2HRG0_9RHOB
A0A1L8ZJY3	A0A1L8ZJY3_9BACI
A0A149SMS1	A0A149SMS1_GLUTH
A0A2N8BBC9	A0A2N8BBC9_9PSED
A0A0X3VIS4	A0A0X3VIS4_STRVO
C0C1W5	C0C1W5_9FIRM
A0A0Q4DNZ1	A0A0Q4DNZ1_9MICO
C6S3X2	C6S3X2_9TRAC
A0A2A3XCU5	A0A2A3XCU5_9GAMM
A0A2N5D2F6	A0A2N5D2F6_9CAUL
A0A0Q8IXE0	A0A0Q8IXE0_9GAMM
S6GIV1	S6GIV1_9GAMM
E8RI87	E8RI87_DESPD
A0A177KMF8	A0A177KMF8_9BACI
Q0AYN4	Q0AYN4_SYNWW
A0A1Q2L0Z3	A0A1Q2L0Z3_9BACL
A0A2N5CW88	A0A2N5CW88_9CAUL
A0A132CCK1	A0A132CCK1_9BURK
A0A0S2FM16	A0A0S2FM16_9GAMM
A0A125MMP5	A0A125MMP5_9GAMM
G4WXL3	G4WXL3_9MONI
A0A0W0SM84	A0A0W0SM84_9GAMM
A0A0E2E8R0	A0A0E2E8R0_TREDN
A0A0E2EEP8	A0A0E2EEP8_TREDN
A0A177VLH7	A0A177VLH7_9BASI
M2BGW4	M2BGW4_TREDN
S4S9C7	S4S9C7_9BRYO
F5Y7W0	F5Y7W0_TREAZ
A0A0X7K387	A0A0X7K387_PSEFL
A0A1H5IZE9	A0A1H5IZE9_9PSED
B3JPI2	B3JPI2_9BACE
Q71LD3	Q71LD3_STAER
A0A2L1JEX3	A0A2L1JEX3_9PSED
A0A090FXA0	A0A090FXA0_MESPL
A2RQJ2	A2RQJ2_MICCL
A0A0J1GQG3	A0A0J1GQG3_9FIRM
T3DAD3	T3DAD3_CLODI
B1NGS0	B1NGS0_9MONI
A0A117LNP1	A0A117LNP1_9BACT
A0A1C6FQ63	A0A1C6FQ63_9CLOT
A0A2N2CCY4	A0A2N2CCY4_9FIRM
A0A2E3HZ31	A0A2E3HZ31_9BACT
F5XVY3	F5XVY3_RAMTT
A0A0Q8MCW4	A0A0Q8MCW4_9CAUL
A1E910	A1E910_9CHLO
A0A0S8INR4	A0A0S8INR4_9BACT
A0A081NG21	A0A081NG21_9GAMM
A0A1B1YGR3	A0A1B1YGR3_CLOSR
A0A1B1YPA4	A0A1B1YPA4_CLOSR
L7VP93	L7VP93_CLOSH
A0A1I2KR64	A0A1I2KR64_9ACTN
A0A1E4IRU4	A0A1E4IRU4_9BURK
S4S9E4	S4S9E4_9BRYO
S4S9T9	S4S9T9_9BRYO
A0A2E6TLJ8	A0A2E6TLJ8_9BACT
V8CDC9	V8CDC9_9FIRM
A0A1L1RY35	A0A1L1RY35_CHICK
A0A1H6FV48	A0A1H6FV48_THEAL
A0A1L5F6D6	A0A1L5F6D6_CLOKL
A0A1L1RZJ6	A0A1L1RZJ6_CHICK
A0A2D5VIW4	A0A2D5VIW4_9BACT
A0A1F7PXT4	A0A1F7PXT4_9BACT
A0A0U5NQU5	A0A0U5NQU5_9CLOT
A0A1I4TFE0	A0A1I4TFE0_9ALTE
A0A1G0BFC0	A0A1G0BFC0_9PROT
W2C732	W2C732_9BACT
W2CE05	W2CE05_9BACT
W2CIX3	W2CIX3_9BACT
W2CZU1	W2CZU1_9BACT
A0A1B3WGT4	OBSOLETE
W2CQG9	W2CQG9_9BACT
X6LRC0	X6LRC0_RETFI
A0A0M2NJV0	A0A0M2NJV0_9FIRM
A0A2N8N622	A0A2N8N622_9BACT
A0A2N8NF26	A0A2N8NF26_9BACT
A0A2N8NHP7	A0A2N8NHP7_9BACT
A0A1H0GM20	A0A1H0GM20_9DELT
A0A194AJN8	A0A194AJN8_9DELT
E1R3E2	E1R3E2_SEDSS
E8T481	E8T481_THEA1
B5CT96	B5CT96_9FIRM
A0A1D8JHS5	A0A1D8JHS5_LYSSH
G2GX12	G2GX12_9ENTR
Q8GK79	Q8GK79_HELPX
A0A1W9PW53	A0A1W9PW53_9DELT
S4S867	S4S867_9BRYO
A0A150W4G6	A0A150W4G6_PLAMR
A0A1I4A443	A0A1I4A443_9RHIZ
M5TTS4	M5TTS4_9PLAN
B0MD74	B0MD74_9FIRM
A0A1M6RN60	A0A1M6RN60_9FIRM
E5VTH8	OBSOLETE
R6QN47	R6QN47_9FIRM
S4S8M2	S4S8M2_9BRYO
S4S9A1	S4S9A1_9BRYO
F6KK38	F6KK38_9BRYO
S4S9D3	S4S9D3_9BRYO
A0A1C7DWY5	A0A1C7DWY5_PLAMR
A0A1Q9JK64	A0A1Q9JK64_9FIRM
A0A1M6CF87	A0A1M6CF87_9CLOT
F3AGH2	F3AGH2_9FIRM
S4S862	S4S862_9BRYO
C9L5A3	C9L5A3_BLAHA
R6NEY2	R6NEY2_9FIRM
A0A1V6ER94	A0A1V6ER94_9BACT
A0A2N0ZM20	A0A2N0ZM20_9BACI
A0A0Q3TX31	A0A0Q3TX31_AMAAE
A0A1J5G2D0	OBSOLETE
A0A1F2VT97	A0A1F2VT97_9BACT
A0A0Q7D5C1	A0A0Q7D5C1_9CAUL
A0A0Q7F161	A0A0Q7F161_9CAUL
A0A0Q8U3Z8	A0A0Q8U3Z8_9CAUL
S4S9A6	S4S9A6_9BRYO
A0A0G0ZDQ4	A0A0G0ZDQ4_9BACT
A0A0G1ANU5	A0A0G1ANU5_9BACT
A0A1H5TIK4	A0A1H5TIK4_9BACT
A0A069D433	A0A069D433_9BACE
A0A1R0MG69	OBSOLETE
A0A2N5QLW6	A0A2N5QLW6_CHRVL
A0A257AMG1	A0A257AMG1_9ARCH
H0I070	H0I070_9RHIZ
A0A2E3TNF3	A0A2E3TNF3_9BACT
A0A1H0BU33	A0A1H0BU33_9PSED
A0A0G1H4V5	A0A0G1H4V5_9BACT
A0A1F5WUW1	A0A1F5WUW1_9BACT
A0A101W364	A0A101W364_9FIRM
A0A1Z8XCT3	A0A1Z8XCT3_9BACT
A0A081LF24	A0A081LF24_9BACI
A0A268HCV0	A0A268HCV0_9BACI
A0A1G7RN27	A0A1G7RN27_9BACT
R5KZS5	R5KZS5_9FIRM
A0A1H2ZNJ3	A0A1H2ZNJ3_THIRO
A0A2M8FE40	A0A2M8FE40_9BACT
I3X4D7	I3X4D7_RHIFR
A1E915	A1E915_9CHLO
A0A291JRX5	A0A291JRX5_9GAMM
A0A0U5ID38	A0A0U5ID38_9GAMM
R5MYJ1	R5MYJ1_9BACE
A0A0H2WBB1	A0A0H2WBB1_BURMA
A0A1F7R0K2	A0A1F7R0K2_9BACT
R7DKD7	R7DKD7_9BACE
A0A1Y2L2F9	A0A1Y2L2F9_9PROT
A0A1I1KKJ1	A0A1I1KKJ1_9CLOT
A8FPB4	A8FPB4_SHESH
A0A0G1E9D9	A0A0G1E9D9_9BACT
A0A0C1GXQ6	A0A0C1GXQ6_9RHOB
R7AV64	R7AV64_9FIRM
R6MVQ3	R6MVQ3_9BACE
A3NLR1	A3NLR1_BURP6
K2FI02	K2FI02_9BACT
A0A2G2A150	A0A2G2A150_9BACT
A0A098YDC6	A0A098YDC6_9ACTN
A0A1Q6GBQ6	A0A1Q6GBQ6_9BACE
B5CXA8	B5CXA8_BACPM
R5VDW9	R5VDW9_9BACE
A0A1V5ULP0	A0A1V5ULP0_9BACT
A0A0E4FMP2	A0A0E4FMP2_TANFO
A0A1D3UFF7	A0A1D3UFF7_TANFO
G8ULH6	G8ULH6_TANFA
A0A0N1P3R2	A0A0N1P3R2_CLODI
A0A1G3ZB00	A0A1G3ZB00_9BACT
R5JPV7	R5JPV7_9BACE
A0A0B5E811	A0A0B5E811_9RHOB
A0A1V6BPA0	A0A1V6BPA0_9SPIR
A0A0H3I0V0	A0A0H3I0V0_BURP2
A0A0E1SC23	A0A0E1SC23_BURPE
A0A2A4UTV2	A0A2A4UTV2_9GAMM
A0A2G2AB05	A0A2G2AB05_9RHOB
A0A2M7G0B6	A0A2M7G0B6_9BACT
D8IBH9	D8IBH9_BRAP9
A0A0F9DJU5	A0A0F9DJU5_9ZZZZ
R6S2V6	R6S2V6_9BACE
S0F7E9	S0F7E9_9BACE
F5L814	F5L814_CALTT
A0A0S8F1M3	A0A0S8F1M3_9GAMM
D4HLZ6	D4HLZ6_9PHAE
F9UID8	F9UID8_9GAMM
I4BA64	I4BA64_TURPD
A0A0Q1AK03	A0A0Q1AK03_9BACT
A8EPB7	A8EPB7_BURPE
A0A095I6V4	A0A095I6V4_BURPE
